gear,speed
1.0,13.133
1.0,18.81
1.0,20.491
1.0,21.229
1.0,22.338
1.0,23.681
1.0,24.455
1.0,25.596
1.0,26.37
1.0,27.378
1.0,28.08
1.0,28.955
1.0,29.761
1.0,30.398
1.0,31.273
1.0,32.112
1.0,32.785
1.0,33.39
1.0,34.229
1.0,34.664
1.0,35.338
1.0,36.144
1.0,36.612
1.0,37.386
1.0,37.688
1.0,38.394
1.0,38.93
1.0,39.334
2.0,39.906
2.0,40.342
2.0,40.946
2.0,41.249
2.0,41.483
2.0,41.954
2.0,42.458
2.0,42.793
2.0,43.132
2.0,43.801
2.0,44.172
2.0,44.305
2.0,44.842
2.0,45.212
2.0,45.414
2.0,45.986
2.0,46.22
2.0,46.555
3.0,46.656
3.0,47.059
3.0,47.261
3.0,47.462
3.0,47.866
3.0,48.067
3.0,48.136
3.0,48.47
3.0,48.906
3.0,49.108
3.0,49.345
3.0,49.648
3.0,50.116
3.0,50.353
3.0,50.587
3.0,50.99
3.0,51.325
4.0,51.494
5.0,51.462
5.0,51.696
5.0,51.93
5.0,52.268
5.0,52.434
5.0,52.805
5.0,53.107
5.0,53.442
5.0,53.978
5.0,54.281
5.0,54.72
5.0,54.922
5.0,55.188
5.0,55.591
5.0,55.76
5.0,55.76
5.0,55.994
5.0,56.264
5.0,56.264
5.0,56.668
5.0,56.869
5.0,57.172
5.0,56.837
5.0,56.837
5.0,57.038
5.0,57.337
5.0,57.236
5.0,57.337
5.0,57.539
5.0,57.539
5.0,57.74
5.0,57.74
5.0,57.776
5.0,57.474
5.0,57.776
5.0,57.776
5.0,57.776
5.0,58.345
5.0,58.345
5.0,58.446
5.0,58.547
5.0,58.547
5.0,58.716
5.0,58.849
5.0,59.152
5.0,59.152
5.0,59.389
5.0,59.591
5.0,59.656
5.0,59.893
5.0,59.893
5.0,59.893
5.0,60.095
5.0,60.563
5.0,60.563
5.0,60.8
5.0,60.8
5.0,60.8
5.0,60.901
5.0,60.901
5.0,61.135
5.0,61.369
5.0,61.369
5.0,61.538
5.0,61.538
5.0,61.772
5.0,61.772
5.0,62.006
5.0,62.006
5.0,62.006
6.0,62.244
6.0,62.107
6.0,62.244
6.0,62.244
6.0,62.647
6.0,62.478
6.0,62.982
6.0,62.982
6.0,63.284
6.0,63.284
6.0,63.284
6.0,63.284
6.0,63.688
6.0,63.688
6.0,63.688
6.0,63.454
6.0,63.688
6.0,63.284
6.0,63.554
6.0,63.554
6.0,63.788
6.0,63.788
6.0,63.857
6.0,64.091
6.0,64.091
6.0,64.361
6.0,64.091
6.0,64.462
6.0,64.462
6.0,64.696
6.0,64.966
6.0,64.966
6.0,65.099
6.0,65.369
6.0,65.369
6.0,65.704
6.0,65.704
6.0,65.97
6.0,66.24
6.0,66.24
6.0,66.172
6.0,66.474
6.0,66.208
6.0,66.474
6.0,66.474
6.0,66.776
6.0,66.913
6.0,67.079
6.0,66.776
6.0,67.079
6.0,66.643
6.0,66.643
6.0,66.946
6.0,66.946
6.0,66.946
6.0,67.014
6.0,67.147
6.0,67.45
6.0,67.45
6.0,67.55
6.0,67.55
6.0,67.82
6.0,68.123
6.0,67.954
6.0,68.155
6.0,68.155
6.0,68.155
6.0,68.155
6.0,68.458
6.0,68.591
6.0,68.526
6.0,68.728
6.0,68.728
6.0,68.861
6.0,68.861
6.0,68.861
6.0,69.163
6.0,68.861
6.0,68.591
6.0,68.591
6.0,68.591
6.0,68.893
6.0,68.861
6.0,69.163
6.0,69.466
6.0,69.466
6.0,69.466
6.0,69.635
6.0,69.7
6.0,69.7
7.0,69.768
7.0,70.373
7.0,70.574
7.0,70.675
7.0,70.675
7.0,71.244
7.0,71.381
7.0,71.885
7.0,71.885
7.0,71.615
7.0,71.01
7.0,71.143
7.0,71.143
7.0,71.143
7.0,71.748
7.0,71.683
7.0,72.05
7.0,71.917
7.0,71.917
7.0,72.187
7.0,72.49
7.0,72.49
7.0,72.353
7.0,71.514
7.0,71.885
7.0,71.816
7.0,71.885
7.0,72.32
7.0,72.32
7.0,72.32
7.0,72.32
7.0,72.32
7.0,72.252
7.0,72.187
7.0,72.252
7.0,72.252
7.0,72.454
7.0,72.792
7.0,72.857
7.0,72.623
7.0,72.522
7.0,72.623
7.0,72.724
7.0,72.857
7.0,71.683
7.0,71.917
7.0,71.917
7.0,71.582
7.0,71.683
7.0,71.446
7.0,71.28
7.0,71.28
7.0,71.446
7.0,71.381
7.0,71.482
7.0,71.546
7.0,71.546
7.0,71.482
7.0,71.312
7.0,71.312
7.0,71.716
7.0,71.647
7.0,71.683
7.0,71.716
7.0,71.716
7.0,71.716
7.0,71.917
7.0,72.086
7.0,72.187
7.0,72.086
7.0,72.05
7.0,72.119
7.0,72.353
7.0,72.086
7.0,72.353
7.0,72.824
7.0,72.824
7.0,72.655
7.0,72.655
7.0,72.756
7.0,72.756
7.0,72.756
7.0,72.756
7.0,72.756
7.0,73.462
7.0,73.296
7.0,73.296
7.0,73.228
7.0,73.966
7.0,74.135
7.0,73.8
7.0,73.8
7.0,74.002
7.0,73.764
7.0,73.832
7.0,73.832
7.0,73.901
7.0,73.8
7.0,74.002
7.0,74.336
7.0,74.002
7.0,73.865
7.0,73.933
7.0,73.933
7.0,73.933
7.0,73.8
7.0,73.699
7.0,74.135
7.0,74.135
7.0,73.966
7.0,73.966
7.0,73.966
7.0,73.966
7.0,74.066
7.0,74.066
7.0,74.066
7.0,73.966
7.0,74.167
7.0,74.401
7.0,74.401
7.0,74.401
7.0,74.671
7.0,74.47
7.0,74.74
7.0,74.47
7.0,74.74
7.0,74.57
7.0,74.3
7.0,74.3
7.0,74.47
7.0,74.671
7.0,74.102
7.0,74.102
7.0,73.865
7.0,73.865
7.0,73.901
7.0,73.901
7.0,73.865
7.0,73.865
7.0,73.498
7.0,73.598
7.0,73.663
7.0,73.498
7.0,73.498
7.0,73.8
7.0,73.8
7.0,73.865
7.0,73.562
7.0,73.966
7.0,74.034
7.0,74.034
7.0,74.034
7.0,73.26
7.0,73.026
7.0,73.026
7.0,72.756
7.0,72.724
7.0,72.59
7.0,72.724
7.0,72.958
7.0,72.857
7.0,73.127
7.0,73.127
7.0,73.058
8.0,72.958
8.0,72.857
8.0,72.925
8.0,72.925
8.0,73.361
8.0,73.159
8.0,73.159
8.0,73.328
8.0,73.328
8.0,73.429
8.0,73.631
8.0,73.498
8.0,73.764
8.0,73.764
8.0,73.8
8.0,74.135
8.0,74.502
8.0,74.135
8.0,74.538
8.0,74.538
8.0,74.873
8.0,75.143
8.0,74.639
8.0,74.639
8.0,74.639
8.0,74.639
8.0,74.437
8.0,74.437
8.0,74.066
8.0,73.901
8.0,74.437
8.0,74.437
8.0,74.671
8.0,74.437
8.0,74.671
8.0,74.84
8.0,74.57
8.0,74.57
8.0,74.502
8.0,74.369
8.0,74.437
8.0,74.401
8.0,74.369
8.0,74.167
8.0,74.167
8.0,74.437
8.0,74.167
8.0,74.167
8.0,74.002
8.0,74.002
8.0,74.336
8.0,74.336
8.0,74.2
8.0,73.865
8.0,74.2
8.0,74.2
8.0,74.336
8.0,74.268
8.0,74.336
8.0,74.704
8.0,74.2
8.0,74.437
8.0,74.873
8.0,74.603
8.0,74.873
8.0,74.538
8.0,74.538
8.0,74.538
8.0,74.538
8.0,74.639
8.0,74.639
8.0,74.102
